Weekly Income,Region,Value
"$150-$299 ($7,800-$15,599)",Brunswick,0
"$300-$399 ($15,600-$20,799)",Brunswick,0
"$400-$499 ($20,800-$25,999)",Brunswick,0
"$500-$649 ($26,000-$33,799)",Brunswick,0
"$650-$799 ($33,800-$41,599)",Brunswick,0
"$800-$999 ($41,600-$51,999)",Brunswick,3
"$1,000-$1,249 ($52,000-$64,999)",Brunswick,0
"$1,250-$1,499 ($65,000-$77,999)",Brunswick,0
"$1,500-$1,749 ($78,000-$90,999)",Brunswick,0
"$1,750-$1,999 ($91,000-$103,999)",Brunswick,0
"$2,000-$2,499 ($104,000-$129,999)",Brunswick,3
"$2,500-$2,999 ($130,000-$155,999)",Brunswick,0
"$3,000-$3,499 ($156,000-$181,999)",Brunswick,0
"$3,500-$3,999 ($182,000-$207,999)",Brunswick,0
"$4,000-$4,499 ($208,000-$233,999)",Brunswick,0
"$4,500-$4,999 ($234,000-$259,999)",Brunswick,0
"$5,000-$5,999 ($260,000-$311,999)",Brunswick,0
"$6,000-$7,999 ($312,000-$415,999)",Brunswick,0
"$8,000 or more ($416,000 or more)",Brunswick,0
Partial income stated,Brunswick,0
All incomes not stated,Brunswick,0
Negative income,Brunswick,0
Nil income,Brunswick,0
"$1-$149 ($1-$7,799)",Brunswick,0
"$150-$299 ($7,800-$15,599)",Brunswick,0
"$300-$399 ($15,600-$20,799)",Brunswick,0
"$400-$499 ($20,800-$25,999)",Brunswick,0
"$500-$649 ($26,000-$33,799)",Brunswick,0
"$650-$799 ($33,800-$41,599)",Brunswick,0
"$800-$999 ($41,600-$51,999)",Brunswick,0
"$1,000-$1,249 ($52,000-$64,999)",Brunswick,0
"$1,250-$1,499 ($65,000-$77,999)",Brunswick,0
"$1,500-$1,749 ($78,000-$90,999)",Brunswick,0
"$1,750-$1,999 ($91,000-$103,999)",Brunswick,0
"$2,000-$2,499 ($104,000-$129,999)",Brunswick,0
"$2,500-$2,999 ($130,000-$155,999)",Brunswick,0
"$3,000-$3,499 ($156,000-$181,999)",Brunswick,0
"$3,500-$3,999 ($182,000-$207,999)",Brunswick,0
"$4,000-$4,499 ($208,000-$233,999)",Brunswick,0
"$4,500-$4,999 ($234,000-$259,999)",Brunswick,0
"$5,000-$5,999 ($260,000-$311,999)",Brunswick,0
"$6,000-$7,999 ($312,000-$415,999)",Brunswick,0
"$8,000 or more ($416,000 or more)",Brunswick,0
Partial income stated,Brunswick,0
All incomes not stated,Brunswick,0
Negative income,Brunswick,0
Nil income,Brunswick,0
"$1-$149 ($1-$7,799)",Brunswick,0
"$150-$299 ($7,800-$15,599)",Brunswick,0
"$300-$399 ($15,600-$20,799)",Brunswick,0
"$400-$499 ($20,800-$25,999)",Brunswick,0
"$500-$649 ($26,000-$33,799)",Brunswick,0
"$650-$799 ($33,800-$41,599)",Brunswick,0
"$800-$999 ($41,600-$51,999)",Brunswick,0
"$1,000-$1,249 ($52,000-$64,999)",Brunswick,0
"$1,250-$1,499 ($65,000-$77,999)",Brunswick,0
"$1,500-$1,749 ($78,000-$90,999)",Brunswick,0
"$1,750-$1,999 ($91,000-$103,999)",Brunswick,0
"$2,000-$2,499 ($104,000-$129,999)",Brunswick,0
"$2,500-$2,999 ($130,000-$155,999)",Brunswick,0
"$3,000-$3,499 ($156,000-$181,999)",Brunswick,0
"$3,500-$3,999 ($182,000-$207,999)",Brunswick,0
"$4,000-$4,499 ($208,000-$233,999)",Brunswick,0
"$4,500-$4,999 ($234,000-$259,999)",Brunswick,0
"$5,000-$5,999 ($260,000-$311,999)",Brunswick,0
"$6,000-$7,999 ($312,000-$415,999)",Brunswick,0
"$8,000 or more ($416,000 or more)",Brunswick,0
Partial income stated,Brunswick,0
All incomes not stated,Brunswick,0
Negative income,Brunswick,0
Nil income,Brunswick,0
"$1-$149 ($1-$7,799)",Brunswick,0
"$150-$299 ($7,800-$15,599)",Brunswick,0
"$300-$399 ($15,600-$20,799)",Brunswick,0
"$400-$499 ($20,800-$25,999)",Brunswick,0
"$500-$649 ($26,000-$33,799)",Brunswick,0
"$650-$799 ($33,800-$41,599)",Brunswick,0
"$800-$999 ($41,600-$51,999)",Brunswick,0
"$1,000-$1,249 ($52,000-$64,999)",Brunswick East,372
"$1,250-$1,499 ($65,000-$77,999)",Brunswick East,329
"$1,500-$1,749 ($78,000-$90,999)",Brunswick East,306
"$1,750-$1,999 ($91,000-$103,999)",Brunswick East,295
"$2,000-$2,499 ($104,000-$129,999)",Brunswick East,580
"$2,500-$2,999 ($130,000-$155,999)",Brunswick East,387
"$3,000-$3,499 ($156,000-$181,999)",Brunswick East,256
"$3,500-$3,999 ($182,000-$207,999)",Brunswick East,240
"$4,000-$4,499 ($208,000-$233,999)",Brunswick East,99
"$4,500-$4,999 ($234,000-$259,999)",Brunswick East,103
"$5,000-$5,999 ($260,000-$311,999)",Brunswick East,108
"$6,000-$7,999 ($312,000-$415,999)",Brunswick East,86
"$8,000 or more ($416,000 or more)",Brunswick East,8
Partial income stated,Brunswick East,359
All incomes not stated,Brunswick East,86
Negative income,Brunswick East,8
Nil income,Brunswick East,92
"$1-$149 ($1-$7,799)",Brunswick East,36
"$150-$299 ($7,800-$15,599)",Brunswick East,96
"$300-$399 ($15,600-$20,799)",Brunswick East,102
"$400-$499 ($20,800-$25,999)",Brunswick East,215
"$500-$649 ($26,000-$33,799)",Brunswick East,151
"$650-$799 ($33,800-$41,599)",Brunswick East,258
"$800-$999 ($41,600-$51,999)",Brunswick East,257
"$1,000-$1,249 ($52,000-$64,999)",Brunswick East,148
"$1,250-$1,499 ($65,000-$77,999)",Brunswick East,115
"$1,500-$1,749 ($78,000-$90,999)",Brunswick East,114
"$1,750-$1,999 ($91,000-$103,999)",Brunswick East,147
"$2,000-$2,499 ($104,000-$129,999)",Brunswick East,324
"$2,500-$2,999 ($130,000-$155,999)",Brunswick East,282
"$3,000-$3,499 ($156,000-$181,999)",Brunswick East,197
"$3,500-$3,999 ($182,000-$207,999)",Brunswick East,141
"$4,000-$4,499 ($208,000-$233,999)",Brunswick East,66
"$4,500-$4,999 ($234,000-$259,999)",Brunswick East,85
"$5,000-$5,999 ($260,000-$311,999)",Brunswick East,79
"$6,000-$7,999 ($312,000-$415,999)",Brunswick East,70
"$8,000 or more ($416,000 or more)",Brunswick East,3
Partial income stated,Brunswick East,196
All incomes not stated,Brunswick East,23
Negative income,Brunswick East,0
Nil income,Brunswick East,26
"$1-$149 ($1-$7,799)",Brunswick East,15
"$150-$299 ($7,800-$15,599)",Brunswick East,15
"$300-$399 ($15,600-$20,799)",Brunswick East,14
"$400-$499 ($20,800-$25,999)",Brunswick East,52
"$500-$649 ($26,000-$33,799)",Brunswick East,42
"$650-$799 ($33,800-$41,599)",Brunswick East,120
"$800-$999 ($41,600-$51,999)",Brunswick East,101
"$1,000-$1,249 ($52,000-$64,999)",Brunswick East,12
"$1,250-$1,499 ($65,000-$77,999)",Brunswick East,9
"$1,500-$1,749 ($78,000-$90,999)",Brunswick East,11
"$1,750-$1,999 ($91,000-$103,999)",Brunswick East,6
"$2,000-$2,499 ($104,000-$129,999)",Brunswick East,24
"$2,500-$2,999 ($130,000-$155,999)",Brunswick East,17
"$3,000-$3,499 ($156,000-$181,999)",Brunswick East,15
"$3,500-$3,999 ($182,000-$207,999)",Brunswick East,12
"$4,000-$4,499 ($208,000-$233,999)",Brunswick East,13
"$4,500-$4,999 ($234,000-$259,999)",Brunswick East,3
"$5,000-$5,999 ($260,000-$311,999)",Brunswick East,12
"$6,000-$7,999 ($312,000-$415,999)",Brunswick East,9
"$8,000 or more ($416,000 or more)",Brunswick East,0
Partial income stated,Brunswick East,14
All incomes not stated,Brunswick East,0
Negative income,Brunswick East,0
Nil income,Brunswick East,7
"$1-$149 ($1-$7,799)",Brunswick East,0
"$150-$299 ($7,800-$15,599)",Brunswick East,0
"$300-$399 ($15,600-$20,799)",Brunswick East,0
"$400-$499 ($20,800-$25,999)",Brunswick East,0
"$500-$649 ($26,000-$33,799)",Brunswick East,0
"$650-$799 ($33,800-$41,599)",Brunswick East,3
"$800-$999 ($41,600-$51,999)",Brunswick East,7
"$1,000-$1,249 ($52,000-$64,999)",Brunswick East,0
"$1,250-$1,499 ($65,000-$77,999)",Brunswick East,0
"$1,500-$1,749 ($78,000-$90,999)",Brunswick East,0
"$1,750-$1,999 ($91,000-$103,999)",Brunswick East,3
"$2,000-$2,499 ($104,000-$129,999)",Brunswick East,3
"$2,500-$2,999 ($130,000-$155,999)",Brunswick East,3
"$3,000-$3,499 ($156,000-$181,999)",Brunswick East,0
"$3,500-$3,999 ($182,000-$207,999)",Brunswick East,0
"$4,000-$4,499 ($208,000-$233,999)",Brunswick East,0
"$4,500-$4,999 ($234,000-$259,999)",Brunswick East,0
"$5,000-$5,999 ($260,000-$311,999)",Brunswick East,0
"$6,000-$7,999 ($312,000-$415,999)",Brunswick East,0
"$8,000 or more ($416,000 or more)",Brunswick East,0
Partial income stated,Brunswick East,5
All incomes not stated,Brunswick East,0
Negative income,Brunswick East,0
Nil income,Brunswick East,0
"$1-$149 ($1-$7,799)",Brunswick East,0
"$150-$299 ($7,800-$15,599)",Brunswick East,0
"$300-$399 ($15,600-$20,799)",Brunswick East,0
"$400-$499 ($20,800-$25,999)",Brunswick East,0
"$500-$649 ($26,000-$33,799)",Brunswick East,0
"$650-$799 ($33,800-$41,599)",Brunswick East,0
"$800-$999 ($41,600-$51,999)",Brunswick East,0
"$1,000-$1,249 ($52,000-$64,999)",Brunswick East,0
"$1,250-$1,499 ($65,000-$77,999)",Brunswick East,0
"$1,500-$1,749 ($78,000-$90,999)",Brunswick East,0
"$1,750-$1,999 ($91,000-$103,999)",Brunswick East,0
"$2,000-$2,499 ($104,000-$129,999)",Brunswick East,0
"$2,500-$2,999 ($130,000-$155,999)",Brunswick East,0
"$3,000-$3,499 ($156,000-$181,999)",Brunswick East,0
"$3,500-$3,999 ($182,000-$207,999)",Brunswick East,0
"$4,000-$4,499 ($208,000-$233,999)",Brunswick East,0
"$4,500-$4,999 ($234,000-$259,999)",Brunswick East,0
"$5,000-$5,999 ($260,000-$311,999)",Brunswick East,0
"$6,000-$7,999 ($312,000-$415,999)",Brunswick East,0
"$8,000 or more ($416,000 or more)",Brunswick East,0
Partial income stated,Brunswick East,0
All incomes not stated,Brunswick East,0
Negative income,Brunswick East,0
Nil income,Brunswick East,0
"$1-$149 ($1-$7,799)",Brunswick East,0
"$150-$299 ($7,800-$15,599)",Brunswick East,0
"$300-$399 ($15,600-$20,799)",Brunswick East,0
"$400-$499 ($20,800-$25,999)",Brunswick East,0
"$500-$649 ($26,000-$33,799)",Brunswick East,0
"$650-$799 ($33,800-$41,599)",Brunswick East,0
"$800-$999 ($41,600-$51,999)",Brunswick East,0
"$1,000-$1,249 ($52,000-$64,999)",Brunswick East,0
"$1,250-$1,499 ($65,000-$77,999)",Brunswick East,0
"$1,500-$1,749 ($78,000-$90,999)",Brunswick East,0
"$1,750-$1,999 ($91,000-$103,999)",Brunswick East,0
"$2,000-$2,499 ($104,000-$129,999)",Brunswick East,0
"$2,500-$2,999 ($130,000-$155,999)",Brunswick East,0
"$3,000-$3,499 ($156,000-$181,999)",Brunswick East,0
"$3,500-$3,999 ($182,000-$207,999)",Brunswick East,0
"$4,000-$4,499 ($208,000-$233,999)",Brunswick East,0
"$4,500-$4,999 ($234,000-$259,999)",Brunswick East,0
"$5,000-$5,999 ($260,000-$311,999)",Brunswick East,0
"$6,000-$7,999 ($312,000-$415,999)",Brunswick East,0
"$8,000 or more ($416,000 or more)",Brunswick East,0
Partial income stated,Brunswick East,0
All incomes not stated,Brunswick East,0
Negative income,Brunswick East,0
Nil income,Brunswick East,0
"$1-$149 ($1-$7,799)",Brunswick East,0
"$150-$299 ($7,800-$15,599)",Brunswick East,0
"$300-$399 ($15,600-$20,799)",Brunswick East,0
"$400-$499 ($20,800-$25,999)",Brunswick East,0
"$500-$649 ($26,000-$33,799)",Brunswick East,0
"$650-$799 ($33,800-$41,599)",Brunswick East,0
"$800-$999 ($41,600-$51,999)",Brunswick East,0
"$1,000-$1,249 ($52,000-$64,999)",Brunswick East,0
"$1,250-$1,499 ($65,000-$77,999)",Brunswick East,0
"$1,500-$1,749 ($78,000-$90,999)",Brunswick East,0
"$1,750-$1,999 ($91,000-$103,999)",Brunswick East,0
"$2,000-$2,499 ($104,000-$129,999)",Brunswick East,0
"$2,500-$2,999 ($130,000-$155,999)",Brunswick East,0
"$3,000-$3,499 ($156,000-$181,999)",Brunswick East,0
"$3,500-$3,999 ($182,000-$207,999)",Brunswick East,0
"$4,000-$4,499 ($208,000-$233,999)",Brunswick East,0
"$4,500-$4,999 ($234,000-$259,999)",Brunswick East,0
"$5,000-$5,999 ($260,000-$311,999)",Brunswick East,0
"$6,000-$7,999 ($312,000-$415,999)",Brunswick East,0
"$8,000 or more ($416,000 or more)",Brunswick East,0
Partial income stated,Brunswick East,0
All incomes not stated,Brunswick East,0
Negative income,Brunswick East,0
Nil income,Brunswick East,0
"$1-$149 ($1-$7,799)",Brunswick East,0
"$150-$299 ($7,800-$15,599)",Brunswick East,0
"$300-$399 ($15,600-$20,799)",Brunswick East,0
"$400-$499 ($20,800-$25,999)",Brunswick East,0
"$500-$649 ($26,000-$33,799)",Brunswick East,0
"$650-$799 ($33,800-$41,599)",Brunswick East,0
"$800-$999 ($41,600-$51,999)",Brunswick East,0
"$1,000-$1,249 ($52,000-$64,999)",Brunswick West,492
"$1,250-$1,499 ($65,000-$77,999)",Brunswick West,447
"$1,500-$1,749 ($78,000-$90,999)",Brunswick West,362
"$1,750-$1,999 ($91,000-$103,999)",Brunswick West,329
"$2,000-$2,499 ($104,000-$129,999)",Brunswick West,575
"$2,500-$2,999 ($130,000-$155,999)",Brunswick West,338
"$3,000-$3,499 ($156,000-$181,999)",Brunswick West,232
"$3,500-$3,999 ($182,000-$207,999)",Brunswick West,214
"$4,000-$4,499 ($208,000-$233,999)",Brunswick West,104
"$4,500-$4,999 ($234,000-$259,999)",Brunswick West,107
"$5,000-$5,999 ($260,000-$311,999)",Brunswick West,110
"$6,000-$7,999 ($312,000-$415,999)",Brunswick West,86
"$8,000 or more ($416,000 or more)",Brunswick West,11
Partial income stated,Brunswick West,441
All incomes not stated,Brunswick West,125
Negative income,Brunswick West,18
Nil income,Brunswick West,87
"$1-$149 ($1-$7,799)",Brunswick West,50
"$150-$299 ($7,800-$15,599)",Brunswick West,161
"$300-$399 ($15,600-$20,799)",Brunswick West,180
"$400-$499 ($20,800-$25,999)",Brunswick West,333
"$500-$649 ($26,000-$33,799)",Brunswick West,264
"$650-$799 ($33,800-$41,599)",Brunswick West,340
"$800-$999 ($41,600-$51,999)",Brunswick West,400
"$1,000-$1,249 ($52,000-$64,999)",Brunswick West,204
"$1,250-$1,499 ($65,000-$77,999)",Brunswick West,220
"$1,500-$1,749 ($78,000-$90,999)",Brunswick West,178
"$1,750-$1,999 ($91,000-$103,999)",Brunswick West,171
"$2,000-$2,499 ($104,000-$129,999)",Brunswick West,383
"$2,500-$2,999 ($130,000-$155,999)",Brunswick West,270
"$3,000-$3,499 ($156,000-$181,999)",Brunswick West,197
"$3,500-$3,999 ($182,000-$207,999)",Brunswick West,155
"$4,000-$4,499 ($208,000-$233,999)",Brunswick West,86
"$4,500-$4,999 ($234,000-$259,999)",Brunswick West,98
"$5,000-$5,999 ($260,000-$311,999)",Brunswick West,108
"$6,000-$7,999 ($312,000-$415,999)",Brunswick West,80
"$8,000 or more ($416,000 or more)",Brunswick West,9
Partial income stated,Brunswick West,261
All incomes not stated,Brunswick West,29
Negative income,Brunswick West,5
Nil income,Brunswick West,20
"$1-$149 ($1-$7,799)",Brunswick West,16
"$150-$299 ($7,800-$15,599)",Brunswick West,19
"$300-$399 ($15,600-$20,799)",Brunswick West,25
"$400-$499 ($20,800-$25,999)",Brunswick West,87
"$500-$649 ($26,000-$33,799)",Brunswick West,72
"$650-$799 ($33,800-$41,599)",Brunswick West,156
"$800-$999 ($41,600-$51,999)",Brunswick West,151
"$1,000-$1,249 ($52,000-$64,999)",Brunswick West,15
"$1,250-$1,499 ($65,000-$77,999)",Brunswick West,6
"$1,500-$1,749 ($78,000-$90,999)",Brunswick West,8
"$1,750-$1,999 ($91,000-$103,999)",Brunswick West,9
"$2,000-$2,499 ($104,000-$129,999)",Brunswick West,19
"$2,500-$2,999 ($130,000-$155,999)",Brunswick West,13
"$3,000-$3,499 ($156,000-$181,999)",Brunswick West,9
"$3,500-$3,999 ($182,000-$207,999)",Brunswick West,15
"$4,000-$4,499 ($208,000-$233,999)",Brunswick West,6
"$4,500-$4,999 ($234,000-$259,999)",Brunswick West,0
"$5,000-$5,999 ($260,000-$311,999)",Brunswick West,0
"$6,000-$7,999 ($312,000-$415,999)",Brunswick West,3
"$8,000 or more ($416,000 or more)",Brunswick West,0
Partial income stated,Brunswick West,11
All incomes not stated,Brunswick West,0
Negative income,Brunswick West,0
Nil income,Brunswick West,0
"$1-$149 ($1-$7,799)",Brunswick West,0
"$150-$299 ($7,800-$15,599)",Brunswick West,0
"$300-$399 ($15,600-$20,799)",Brunswick West,0
"$400-$499 ($20,800-$25,999)",Brunswick West,0
"$500-$649 ($26,000-$33,799)",Brunswick West,0
"$650-$799 ($33,800-$41,599)",Brunswick West,4
"$800-$999 ($41,600-$51,999)",Brunswick West,3
"$1,000-$1,249 ($52,000-$64,999)",Brunswick West,0
"$1,250-$1,499 ($65,000-$77,999)",Brunswick West,0
"$1,500-$1,749 ($78,000-$90,999)",Brunswick West,4
"$1,750-$1,999 ($91,000-$103,999)",Brunswick West,4
"$2,000-$2,499 ($104,000-$129,999)",Brunswick West,5
"$2,500-$2,999 ($130,000-$155,999)",Brunswick West,0
"$3,000-$3,499 ($156,000-$181,999)",Brunswick West,0
"$3,500-$3,999 ($182,000-$207,999)",Brunswick West,3
"$4,000-$4,499 ($208,000-$233,999)",Brunswick West,0
"$4,500-$4,999 ($234,000-$259,999)",Brunswick West,0
"$5,000-$5,999 ($260,000-$311,999)",Brunswick West,0
"$6,000-$7,999 ($312,000-$415,999)",Brunswick West,0
"$8,000 or more ($416,000 or more)",Brunswick West,3
Partial income stated,Brunswick West,10
All incomes not stated,Brunswick West,0
Negative income,Brunswick West,0
Nil income,Brunswick West,0
"$1-$149 ($1-$7,799)",Brunswick West,0
"$150-$299 ($7,800-$15,599)",Brunswick West,0
"$300-$399 ($15,600-$20,799)",Brunswick West,0
"$400-$499 ($20,800-$25,999)",Brunswick West,0
"$500-$649 ($26,000-$33,799)",Brunswick West,0
"$650-$799 ($33,800-$41,599)",Brunswick West,0
"$800-$999 ($41,600-$51,999)",Brunswick West,3
"$1,000-$1,249 ($52,000-$64,999)",Brunswick West,0
"$1,250-$1,499 ($65,000-$77,999)",Brunswick West,0
"$1,500-$1,749 ($78,000-$90,999)",Brunswick West,0
"$1,750-$1,999 ($91,000-$103,999)",Brunswick West,0
"$2,000-$2,499 ($104,000-$129,999)",Brunswick West,0
"$2,500-$2,999 ($130,000-$155,999)",Brunswick West,0
"$3,000-$3,499 ($156,000-$181,999)",Brunswick West,0
"$3,500-$3,999 ($182,000-$207,999)",Brunswick West,0
"$4,000-$4,499 ($208,000-$233,999)",Brunswick West,0
"$4,500-$4,999 ($234,000-$259,999)",Brunswick West,0
"$5,000-$5,999 ($260,000-$311,999)",Brunswick West,0
"$6,000-$7,999 ($312,000-$415,999)",Brunswick West,0
"$8,000 or more ($416,000 or more)",Brunswick West,0
Partial income stated,Brunswick West,0
All incomes not stated,Brunswick West,0
Negative income,Brunswick West,0
Nil income,Brunswick West,0
"$1-$149 ($1-$7,799)",Brunswick West,0
"$150-$299 ($7,800-$15,599)",Brunswick West,0
"$300-$399 ($15,600-$20,799)",Brunswick West,0
"$400-$499 ($20,800-$25,999)",Brunswick West,0
"$500-$649 ($26,000-$33,799)",Brunswick West,0
"$650-$799 ($33,800-$41,599)",Brunswick West,0
"$800-$999 ($41,600-$51,999)",Brunswick West,0
"$1,000-$1,249 ($52,000-$64,999)",Brunswick West,0
"$1,250-$1,499 ($65,000-$77,999)",Brunswick West,0
"$1,500-$1,749 ($78,000-$90,999)",Brunswick West,0
"$1,750-$1,999 ($91,000-$103,999)",Brunswick West,0
"$2,000-$2,499 ($104,000-$129,999)",Brunswick West,0
"$2,500-$2,999 ($130,000-$155,999)",Brunswick West,0
"$3,000-$3,499 ($156,000-$181,999)",Brunswick West,0
"$3,500-$3,999 ($182,000-$207,999)",Brunswick West,0
"$4,000-$4,499 ($208,000-$233,999)",Brunswick West,0
"$4,500-$4,999 ($234,000-$259,999)",Brunswick West,0
"$5,000-$5,999 ($260,000-$311,999)",Brunswick West,0
"$6,000-$7,999 ($312,000-$415,999)",Brunswick West,0
"$8,000 or more ($416,000 or more)",Brunswick West,0
Partial income stated,Brunswick West,0
All incomes not stated,Brunswick West,0
Negative income,Brunswick West,0
Nil income,Brunswick West,0
"$1-$149 ($1-$7,799)",Brunswick West,0
"$150-$299 ($7,800-$15,599)",Brunswick West,0
"$300-$399 ($15,600-$20,799)",Brunswick West,0
"$400-$499 ($20,800-$25,999)",Brunswick West,0
"$500-$649 ($26,000-$33,799)",Brunswick West,0
"$650-$799 ($33,800-$41,599)",Brunswick West,0
"$800-$999 ($41,600-$51,999)",Brunswick West,0
"$1,000-$1,249 ($52,000-$64,999)",Brunswick West,0
"$1,250-$1,499 ($65,000-$77,999)",Brunswick West,0
"$1,500-$1,749 ($78,000-$90,999)",Brunswick West,0
"$1,750-$1,999 ($91,000-$103,999)",Brunswick West,0
"$2,000-$2,499 ($104,000-$129,999)",Brunswick West,0
"$2,500-$2,999 ($130,000-$155,999)",Brunswick West,0
"$3,000-$3,499 ($156,000-$181,999)",Brunswick West,0
"$3,500-$3,999 ($182,000-$207,999)",Brunswick West,0
"$4,000-$4,499 ($208,000-$233,999)",Brunswick West,0
"$4,500-$4,999 ($234,000-$259,999)",Brunswick West,0
"$5,000-$5,999 ($260,000-$311,999)",Brunswick West,0
"$6,000-$7,999 ($312,000-$415,999)",Brunswick West,0
"$8,000 or more ($416,000 or more)",Brunswick West,0
Partial income stated,Brunswick West,0
All incomes not stated,Brunswick West,0
Negative income,Brunswick West,0
Nil income,Brunswick West,0
"$1-$149 ($1-$7,799)",Brunswick West,0
"$150-$299 ($7,800-$15,599)",Brunswick West,0
"$300-$399 ($15,600-$20,799)",Brunswick West,0
"$400-$499 ($20,800-$25,999)",Brunswick West,0
"$500-$649 ($26,000-$33,799)",Brunswick West,0
"$650-$799 ($33,800-$41,599)",Brunswick West,0
"$800-$999 ($41,600-$51,999)",Brunswick West,0
"$1,000-$1,249 ($52,000-$64,999)",Coburg,705
"$1,250-$1,499 ($65,000-$77,999)",Coburg,611
"$1,500-$1,749 ($78,000-$90,999)",Coburg,553
"$1,750-$1,999 ($91,000-$103,999)",Coburg,575
"$2,000-$2,499 ($104,000-$129,999)",Coburg,1091
