School Name,School Type,Address,Postcode,Phone #,LGA Name
Eaglehawk Primary School,Primary,Church St,3556,03 5446 3722,Greater Bendigo (C)
Elphinstone Primary School,Primary,26 Wright Street,3448,03 5473 3285,Mount Alexander (S)
Hallam Primary School,Primary,24 Harmer Road,3803,03 9703 1536,Casey (C)
Flemington Primary School,Primary,Cnr Mt Alexander Rd & Padman Lane,3031,03 9376 7137,Moonee Valley (C)
Footscray Primary School,Primary,Cnr Geelong Road & Barkly St,3011,03 9687 1910,Maribyrnong (C)
Gisborne Primary School,Primary,35 Fisher Street,3437,03 5428 2022,Macedon Ranges (S)
Sandringham Primary School,Primary,31 Bamfield Street,3191,03 9598 1488,Bayside (C)
Wandiligong Primary School,Primary,119 School Road,3744,03 5755 1026,Alpine (S)
Grovedale Primary School,Primary,143 Bailey Street,3216,03 5243 3902,Greater Geelong (C)
Hawthorn West Primary School,Primary,Cnr Wood Street & Burwood Road,3122,03 9818 2233,Boroondara (C)
Heidelberg Primary School,Primary,Cape Street,3084,03 9457 2259,Banyule (C)
Hamilton (Gray Street) Primary School,Primary,42 Gray Street,3300,03 5571 9295,Southern Grampians (S)
Heathcote Primary School,Primary,31 Herriot Street,3523,03 5433 3090,Greater Bendigo (C)
Highton Primary School,Primary,218 Roslyn Road,3216,03 5243 1494,Greater Geelong (C)
Huntly Primary School,Primary,101 Brunel Street,3551,03 5448 8866,Greater Bendigo (C)
Bellbrae Primary School,Primary,50 School Road,3228,03 5261 2660,Surf Coast (S)
Chiltern Primary School,Primary,91-101 Albert Road,3683,03 5726 1421,Indigo (S)
Kyneton Primary School,Primary,49-79 Edgecombe Street,3444,03 5422 1855,Macedon Ranges (S)
Romsey Primary School,Primary,2-56 Station Street,3434,03 5429 5099,Macedon Ranges (S)
Shelford Primary School,Primary,1717 Shelford-Bannockburn Road,3329,03 5281 3291,Golden Plains (S)
Lockwood South Primary School,Primary,710 Calder Alternative Highway,3551,03 5435 3293,Greater Bendigo (C)
Marong Primary School,Primary,2 Leslie Street,3515,03 5435 2288,Greater Bendigo (C)
Mount Macedon Primary School,Primary,641 Mount Macedon Road,3441,03 5426 1446,Macedon Ranges (S)
Mount Clear Primary School,Primary,1206 Geelong Road,3350,03 5330 1844,Ballarat (C)
Melton Primary School,Primary,Unitt Street,3337,03 9743 5335,Melton (C)
Fitzroy Primary School,Primary,319 George Street,3065,03 9417 4222,Yarra (C)
Newstead Primary School,Primary,28 Lyons Street,3462,03 5476 2226,Mount Alexander (S)
Newlyn Primary School,Primary,2701 Midland Highway,3364,03 5345 7222,Hepburn (S)
Burwood East Primary School,Primary,Cnr Blackburn And Highbury Rds,3151,03 9802 8618,Whitehorse (C)
New Gisborne Primary School,Primary,239 Station Road,3438,03 5428 2232,Macedon Ranges (S)
Beeac Primary School,Primary,35 Lang Street,3251,03 5234 6463,Colac-Otway (S)
Essendon Primary School,Primary,38 Raleigh Street,3040,03 9370 7816,Moonee Valley (C)
Coburg Primary School,Primary,92 Bell Street,3058,03 9354 9332,Moreland (C)
Penshurst Primary School,Primary,87 Ritchie Street,3289,03 5576 5433,Southern Grampians (S)
Myrniong Primary School,Primary,13 Muddy Lane,3341,03 5368 7232,Moorabool (S)
Mernda Primary School,Primary,25 Everton Drive,3754,03 9717 7900,Whittlesea (C)
Portland Primary School,Primary,45 Palmer Street,3305,0499 094 226,Glenelg (S)
Stawell Primary School,Primary,14-28 Barnes Street,3380,03 5358 1255,Northern Grampians (S)
Rutherglen Primary School,Primary,44 Murray Street,3685,02 6032 9428,Indigo (S)
Riddells Creek Primary School,Primary,69-77 Main Road,3431,03 5428 7277,Macedon Ranges (S)
Rokewood Primary School,Primary,38 Aitchison Street,3330,03 5346 1394,Golden Plains (S)
Geelong East Primary School,Primary,184 Boundary Road,3219,03 5248 4885,Greater Geelong (C)
Sale Primary School,Primary,Macalister Street,3850,03 5144 5545,Wellington (S)
Skipton Primary School,Primary,7 Montgomery Street,3361,03 5340 2002,Corangamite (S)
South Yarra Primary School,Primary,601 Punt Road,3141,03 9866 3424,Melbourne (C)
Stratford Primary School,Primary,Cnr Wellsford & Hobson Streets,3862,03 5145 6554,Wellington (S)
Taradale Primary School,Primary,98 High Street,3447,03 5423 2247,Mount Alexander (S)
Koroit And District Primary School,Primary,91 Commercial Road,3282,03 5565 8332,Moyne (S)
Tylden Primary School,Primary,11 Clowes Street,3444,03 5424 8244,Macedon Ranges (S)
Thomastown Primary School,Primary,6 Spring Street,3074,03 9465 2225,Whittlesea (C)
Wangaratta Primary School,Primary,19 Chisholm Street,3677,03 5721 2658,Wangaratta (RC)
Wahgunyah Primary School,Primary,Elizabeth Street,3687,02 6033 1265,Indigo (S)
Woodend Primary School,Primary,146 High Street,3442,03 5427 2455,Macedon Ranges (S)
Woodford Primary School,Primary,8 Victoria Street,3281,03 5562 7632,Warrnambool (C)
Werribee Primary School,Primary,2 Deutgam Street,3030,03 9742 6659,Wyndham (C)
Winters Flat Primary School,Primary,3 Roberts Avenue,3450,03 5472 1522,Mount Alexander (S)
Wooragee Primary School,Primary,1011 Beechworth-Wodonga Road,3747,03 5728 7255,Indigo (S)
Wallan Primary School,Primary,46-48 Queen Street,3756,03 5783 1232,Mitchell (S)
Woolsthorpe Primary School,Primary,12 Manifold Street,3276,03 5569 2241,Moyne (S)
Yandoit Primary School,Primary,74 High Street,3461,03 5476 4286,Hepburn (S)
Yarram Primary School,Primary,2-14 Wesley Street,3971,03 5182 5688,Wellington (S)
Pleasant Street Primary School (Ballarat),Primary,101 Pleasant St North,3350,03 5332 2598,Ballarat (C)
Yea Primary School,Primary,23 Station Street,3717,03 5797 2724,Murrindindi (S)
Lancefield Primary School,Primary,80 High Street,3435,03 5429 2307,Macedon Ranges (S)
Coimadai Primary School,Primary,86 Bennetts Lane,3340,03 5367 2907,Moorabool (S)
Birregurra Primary School,Primary,58 Beal Street,3242,03 5236 2222,Colac-Otway (S)
Clayton North Primary School,Primary,1714 Dandenong Road,3168,03 9544 1522,Monash (C)
Milawa Primary School,Primary,133 Milawa-Bobinawarrah Road,3678,03 5727 3243,Wangaratta (RC)
Lockwood Primary School,Primary,190 Wiegards Road,3551,03 5435 3224,Greater Bendigo (C)
Bealiba Primary School,Primary,9 Grant Street,3475,03 5469 1256,Central Goldfields (S)
Bairnsdale Primary School,Primary,330 - 370 Main Street,3875,03 5152 4395,East Gippsland (S)
Gordon Primary School,Primary,1 Dicker Street,3345,03 5368 9223,Moorabool (S)
Hepburn Primary School,Primary,156 Main Road,3461,03 5348 2531,Hepburn (S)
Lara Lake Primary School,Primary,89 Forest Road South,3212,03 5282 1261,Greater Geelong (C)
Rosedale Primary School,Primary,1-23 Cricket Street,3847,03 5199 2473,Wellington (S)
Bright P-12 College,Pri/Sec,46 Bakers Gully Road,3741,03 5755 1166,Alpine (S)
Rochester Primary School,Primary,2 George Street,3561,03 5484 1072,Campaspe (S)
Ararat Primary School,Primary,70 - 78 Moore Street,3377,03 5352 1253,Ararat (RC)
Jamieson Primary School,Primary,1 The Sideling,3723,03 5777 0535,Mansfield (S)
Preston South Primary School,Primary,56B Hotham Street,3072,03 9484 1544,Darebin (C)
Omeo Primary School,Primary,167 Day Avenue,3898,03 5159 1313,East Gippsland (S)
Harrietville Primary School,Primary,165 Great Alpine Road,3741,03 5759 2533,Alpine (S)
Mordialloc Beach Primary School,Primary,58 Barkly Street,3195,03 9580 1468,Kingston (C)
Healesville Primary School,Primary,2 View Street,3777,03 5962 4053,Yarra Ranges (S)
Lake Bolac College,Pri/Sec,90 Montgomery Street,3351,03 5350 2302,Ararat (RC)
Toongabbie Primary School,Primary,Victoria Street,3856,03 5192 4384,Latrobe (C)
Waubra Primary School,Primary,2110 Sunraysia Highway,3352,03 5343 5358,Pyrenees (S)
Great Western Primary School,Primary,Stephenson Street,3374,03 5356 2235,Northern Grampians (S)
Maffra Primary School,Primary,22-28 Church Street,3860,03 5147 1236,Wellington (S)
Broken Creek Primary School,Primary,413 Quinn Road,3673,03 5764 1253,Benalla (RC)
Lal Lal Primary School,Primary,12 Vaughan Street,3352,03 5341 7580,Moorabool (S)
Cobden Primary School,Primary,Silvester Street,3266,03 5595 1087,Corangamite (S)
St Leonards Primary School,Primary,1341 Murradoc Road,3223,03 5257 1460,Greater Geelong (C)
Lilydale Primary School,Primary,63 - 65 Castella Street,3140,03 9735 1642,Yarra Ranges (S)
Bendigo Primary School,Primary,Old Violet Street,3550,03 5443 6411,Greater Bendigo (C)
Darraweit Guim Primary School,Primary,2 Darraweit Valley Road,3756,03 5789 1234,Macedon Ranges (S)
Linton Primary School,Primary,28 Adair Street,3360,03 5344 7341,Golden Plains (S)
Invermay Primary School,Primary,187 Swinglers Road,3352,03 5332 6396,Ballarat (C)
Mitta Mitta Primary School,Primary,27 Giltrap Road,3701,02 6072 3570,Towong (S)
Camberwell Primary School,Primary,290 Camberwell Road,3124,03 9882 4663,Boroondara (C)
Greenvale Primary School,Primary,12-24 Bradford Avenue,3059,03 9333 2500,Hume (C)
Alexandra Primary School,Primary,15 Webster Street,3714,03 5772 1006,Murrindindi (S)
Rockbank Primary School,Primary,97-105 Westcott Parade,3335,03 9747 1210,Melton (C)
Bannockburn P-12 College,Pri/Sec,139 Milton Street,3331,03 5281 1755,Golden Plains (S)
Doreen Primary School,Primary,75 Doctors Gully Road,3754,03 9717 3563,Nillumbik (S)
Talbot Primary School,Primary,2 Rowe Street,3371,03 5463 2373,Central Goldfields (S)
Yarra Glen Primary School,Primary,35 Symonds Street,3775,03 9730 1254,Yarra Ranges (S)
Elmhurst Primary School,Primary,48 Byerly Street,3469,03 5354 8252,Ararat (RC)
Kangaroo Flat Primary School,Primary,60-80 Olympic Parade,3555,03 5447 5100,Greater Bendigo (C)
Westmeadows Primary School,Primary,34-46 Riddell Street,3049,03 9309 4350,Hume (C)
Sunbury Primary School,Primary,41 The Heights,3429,03 9744 9744,Hume (C)
Diamond Creek Primary School,Primary,17 Clyde Street,3089,03 9438 1108,Nillumbik (S)
Hesket Primary School,Primary,800 Romsey Road,3442,03 5427 0330,Macedon Ranges (S)
Axedale Primary School,Primary,81 High Street,3551,03 5439 7232,Greater Bendigo (C)
Vermont Primary School,Primary,4-10 Nurlendi Road,3133,03 9874 2511,Whitehorse (C)
Tarnagulla Primary School,Primary,51 Stanley Street,3551,03 5438 7355,Loddon (S)
Balwyn Primary School,Primary,86B Balwyn Road,3103,03 9836 7121,Boroondara (C)
Scoresby Primary School,Primary,11 Ingrid Street,3179,03 9763 7484,Knox (C)
Carisbrook Primary School,Primary,2 Camp Street,3464,03 5464 2444,Central Goldfields (S)
Wandin Yallock Primary School,Primary,105 Beenak Road,3139,03 5964 4276,Yarra Ranges (S)
Yering Primary School,Primary,22-24 Melba Highway,3770,03 9739 1451,Yarra Ranges (S)
Dartmoor Primary School,Primary,76 Greenham Street,3304,03 5528 1382,Glenelg (S)
Mickleham Primary School,Primary,1880 Mickleham Road,3064,03 9745 2250,Hume (C)
Inglewood Primary School,Primary,77 Sullivan Street,3517,03 5438 3303,Loddon (S)
Chewton Primary School,Primary,1 Hunter Street,3451,03 5472 2557,Mount Alexander (S)
Bolinda Primary School,Primary,1 Mullalys Road,3432,03 5428 5317,Macedon Ranges (S)
Napoleons Primary School,Primary,4721 Colac-Ballarat Road,3352,03 5342 0414,Golden Plains (S)
Kew Primary School,Primary,Peel Street,3101,03 9853 8325,Boroondara (C)
Haddon Primary School,Primary,398 Sago Hill Road,3351,03 4344 4139,Golden Plains (S)
Panmure Primary School,Primary,8759 Princes Highway,3265,03 5567 6264,Moyne (S)
Sorrento Primary School,Primary,32 Kerferd Avenue,3943,03 5984 2130,Mornington Peninsula (S)
Alfredton Primary School,Primary,89a Cuthberts Road,3350,03 5334 1572,Ballarat (C)
Bridgewater Primary School,Primary,34 - 44 Eldon Street,3516,03 5437 3081,Loddon (S)
Hastings Primary School,Primary,10 - 20 Hodgins Road,3915,03 5979 1517,Mornington Peninsula (S)
Yackandandah Primary School,Primary,39 High Street,3749,02 6027 1431,Indigo (S)
Nagambie Primary School,Primary,31 Goulburn Street,3608,03 5794 2273,Strathbogie (S)
Heyfield Primary School,Primary,22 Temple Street,3858,03 5148 2666,Wellington (S)
Moorabbin Primary School,Primary,61 Worthing Road,3189,03 9555 1101,Kingston (C)
Mansfield Primary School,Primary,4 Apollo Street,3722,03 5775 2325,Mansfield (S)
Middle Indigo Primary School,Primary,710 Indigo Creek Road,3688,02 6026 9235,Indigo (S)
Briagolong Primary School,Primary,2 Church Street,3860,03 5145 5260,Wellington (S)
Lindenow Primary School,Primary,140 Henry Street,3865,03 5157 1340,East Gippsland (S)
Broadford Primary School,Primary,17-23 Powlett Street,3658,03 5784 1221,Mitchell (S)
Murchison Primary School,Primary,8-10 Impey Street,3610,03 5826 2391,Greater Shepparton (C)
Panton Hill Primary School,Primary,585 Kangaroo Grd-St Andrews Rd,3759,03 9719 7202,Nillumbik (S)
Glen Park Primary School,Primary,265 Ralstons Road,3352,03 5334 5360,Moorabool (S)
Concongella Primary School,Primary,61 Concongella School Road,3384,03 5358 1811,Northern Grampians (S)
Bruthen Primary School,Primary,31 Great Alpine Road,3885,03 5157 5445,East Gippsland (S)
Swan Hill Primary School,Primary,123 Gray Street,3585,03 5032 1336,Swan Hill (RC)
Porepunkah Primary School,Primary,2 Martley Street,3740,03 5756 2253,Alpine (S)
Leopold Primary School,Primary,1 Kensington Road,3224,03 5250 1233,Greater Geelong (C)
Inverleigh Primary School,Primary,54 High Street,3321,03 5265 1340,Golden Plains (S)
Glen Iris Primary School,Primary,170 Glen Iris Road,3146,03 9885 3624,Boroondara (C)
Trawalla Primary School,Primary,11 Trawalla Road,3373,03 5349 2047,Pyrenees (S)
Quarry Hill Primary School,Primary,25 Peel Street,3550,03 5443 3537,Greater Bendigo (C)
Sebastopol Primary School,Primary,9 Warreen Street,3356,03 5335 8157,Ballarat (C)
Woodside Primary School,Primary,41 Beach Road,3874,03 5187 1272,Wellington (S)
Noorat Primary School,Primary,MacKinnon's Bridge Road,3265,03 5592 5282,Corangamite (S)
Albert Park Primary School,Primary,Bridport Street,3206,03 9699 9090,Port Phillip (C)
Williamstown Primary School,Primary,Cecil Street,3016,03 9397 1248,Hobsons Bay (C)
Boneo Primary School,Primary,582 Boneo Road,3939,03 5988 6253,Mornington Peninsula (S)
Queenscliff Primary School,Primary,Cnr Stokes & Stevens Street,3225,03 5258 1696,Queenscliffe (B)
Portland North Primary School,Primary,42 School Road,3305,03 5523 1482,Glenelg (S)
Timor Primary School,Primary,395 Bet Bet Creek Road,3465,03 5461 2595,Central Goldfields (S)
Apsley Primary School,Primary,46 Laidlaw Street,3319,03 5586 1231,West Wimmera (S)
Strathfieldsaye Primary School,Primary,9 Uxbridge Street,3551,03 5439 5207,Greater Bendigo (C)
Skye Primary School,Primary,395 Ballarto Road,3977,03 9786 1555,Frankston (C)
Tooborac Primary School,Primary,5185 Northern Highway,3522,03 5433 5225,Mitchell (S)
Lucknow Primary School,Primary,35 Howitt Avenue,3875,03 5152 4662,East Gippsland (S)
Upper Plenty Primary School,Primary,10 Clarkes Road,3756,03 5783 1358,Mitchell (S)
Carlton North Primary School,Primary,60 Lee Street,3054,03 9347 4822,Yarra (C)
Maldon Primary School,Primary,109 High Street,3463,03 5475 1484,Mount Alexander (S)
Woori Yallock Primary School,Primary,1360 Healesville Road,3139,03 5964 7258,Yarra Ranges (S)
Moyston Primary School,Primary,1349 Ararat-Halls Gap Road,3377,03 5354 2537,Ararat (RC)
Buninyong Primary School,Primary,202 Simpson Street,3357,03 5341 3560,Ballarat (C)
Marysville Primary School,Primary,15 Falls Road,3779,03 5963 3256,Murrindindi (S)
Langley Primary School,Primary,Crn Kyneton/Heathcote & Parsells Rd,3444,03 5423 4125,Mount Alexander (S)
Wandong Primary School,Primary,39-51 Rail Street,3758,03 5787 1232,Mitchell (S)
Cowes Primary School,Primary,177 Settlement Road,3922,03 5952 2132,Bass Coast (S)
Bullarto Primary School,Primary,131 Bullarto South Road,3461,03 5348 5559,Hepburn (S)
Lismore Primary School,Primary,77 William Street,3324,03 5596 2121,Corangamite (S)
Lower Plenty Primary School,Primary,126-146 Main Road,3093,03 9435 2585,Banyule (C)
Specimen Hill Primary School,Primary,Inglewood Street,3555,03 5443 5353,Greater Bendigo (C)
Bolwarra Primary School,Primary,249 Princes Highway,3305,03 5529 2374,Glenelg (S)
Navarre Primary School,Primary,High Street,3384,03 5357 4256,Northern Grampians (S)
Warracknabeal Primary School,Primary,5 Werrigar Street,3393,03 5398 1194,Yarriambiack (S)
Moyhu Primary School,Primary,2799 Wangaratta-Whitfield Road,3732,03 5727 9298,Wangaratta (RC)
Natte Yallock Primary School,Primary,10 School Road,3465,03 5462 2386,Pyrenees (S)
Clifton Hill Primary School,Primary,185 Gold St,3068,03 9489 8333,Yarra (C)
Christmas Hills Primary School,Primary,1409 Eltham-yarra Glen Road,3775,03 9730 1238,Nillumbik (S)
Tallangatta Primary School,Primary,1 Wonga Grove,3700,02 6071 2590,Towong (S)
Kialla Central Primary School,Primary,128 Central Kialla Road,3631,03 5827 1373,Greater Shepparton (C)
Mount Eliza Primary School,Primary,Wooralla Drive,3930,03 9787 1385,Mornington Peninsula (S)
San Remo Primary School,Primary,22 Bergin Grove,3925,03 5678 5354,Bass Coast (S)
Dimboola Primary School,Primary,Hindmarsh Street,3414,03 5389 1270,Hindmarsh (S)
Whorouly Primary School,Primary,18 Church Street,3735,03 5727 1363,Wangaratta (RC)
Merrijig Primary School,Primary,1820 Mount Buller Road,3723,03 5777 5559,Mansfield (S)
Lethbridge Primary School,Primary,2 Stephenson Street,3332,03 5281 7214,Golden Plains (S)
Oxley Primary School,Primary,1050 Wangaratta-Whitfield Road,3678,03 5727 3312,Wangaratta (RC)
Northcote Primary School,Primary,33 Helen Street,3070,03 9481 0009,Darebin (C)
North Melbourne Primary School,Primary,210 Errol Street,3051,03 9329 6902,Melbourne (C)
Dandenong Primary School,Primary,174-182 Foster Street,3175,03 9792 2743,Greater Dandenong (C)
Malmsbury Primary School,Primary,28 Cameron Street,3446,03 5423 2284,Macedon Ranges (S)
Williamstown North Primary School,Primary,133 Melbourne Road,3016,03 9397 5722,Hobsons Bay (C)
Kerang Primary School,Primary,75 - 79 Victoria Street,3579,03 5450 3181,Gannawarra (S)
Drouin West Primary School,Primary,535 Main Neerim Road,3818,03 5625 1971,Baw Baw (S)
Meredith Primary School,Primary,5 Wallace Street,3333,03 5286 1313,Golden Plains (S)
Edi Upper Primary School,Primary,832 Edi-Cheshunt Road,3678,03 5729 3560,Wangaratta (RC)
Eaglehawk North Primary School,Primary,1-9 Bendigo-Pyramid Road,3556,03 5446 8366,Greater Bendigo (C)
Mooroopna Primary School,Primary,16-18 O'Brien Street,3629,03 5825 2060,Greater Shepparton (C)
Cairnlea Park Primary School,Primary,49 Carmody Drive,3023,03 9363 1187,Brimbank (C)
Ballan Primary School,Primary,8-14 Duncan Street,3342,03 5368 1072,Moorabool (S)
Mount Pleasant Primary School,Primary,401 Cobden Street,3350,03 5332 3646,Ballarat (C)
Tatura Primary School,Primary,28-40 Albert Street,3616,03 5824 1684,Greater Shepparton (C)
Toolamba Primary School,Primary,69-77 Wren Street,3614,03 5826 5212,Greater Shepparton (C)
Harston Primary School,Primary,155 Harston Road,3616,03 5854 8317,Greater Shepparton (C)
Osbornes Flat Primary School,Primary,354 Osbornes Flat Road,3691,02 6027 1415,Indigo (S)
Frankston Primary School,Primary,Davey Street,3199,03 9783 3769,Frankston (C)
Donald Primary School,Primary,Walker Street,3480,03 5497 1581,Buloke (S)
Beveridge Primary School,Primary,Arrowsmith Street,3753,03 9745 2264,Mitchell (S)
St Kilda Primary School,Primary,2B Brighton Road,3182,03 9534 3993,Port Phillip (C)
Cape Clear Primary School,Primary,1539 Scarsdale-pitfield Road,3351,03 5342 2252,Golden Plains (S)
Warburton Primary School,Primary,16 Horners Road,3799,03 5966 2010,Yarra Ranges (S)
Tallarook Primary School,Primary,52 Main Road,3659,03 5792 1752,Mitchell (S)
Barnawartha Primary School,Primary,11-17 Stanely Street,3688,02 6026 7227,Indigo (S)
Fitzroy North Primary School,Primary,3 Fergie Street,3068,03 9481 5860,Yarra (C)
Ashby Primary School,Primary,2 Lawton Avenue,3218,03 5223 1291,Greater Geelong (C)
Preston Primary School,Primary,240 Tyler Street,3072,03 9470 1167,Darebin (C)
Tooradin Primary School,Primary,Bayview Road,3980,03 5998 3321,Casey (C)
Glenferrie Primary School,Primary,78 - 98 Manningtree Road,3122,03 9818 4338,Boroondara (C)
Elmore Primary School,Primary,36 Michie Street,3558,03 5432 6247,Greater Bendigo (C)
Dookie Primary School,Primary,Baldock Street,3646,03 5828 6585,Greater Shepparton (C)
Brighton Primary School,Primary,59 Wilson Street,3186,03 9592 0177,Bayside (C)
Natimuk Primary School,Primary,38 Old Noradjuha Road,3409,03 5387 1367,Horsham (RC)
Murtoa College,Pri/Sec,Webb Street,3390,03 5385 2381,Yarriambiack (S)
Big Hill Primary School,Primary,5644 Calder Highway,3555,03 5447 7022,Greater Bendigo (C)
Clunes Primary School,Primary,Canterbury Street,3370,03 5345 3182,Hepburn (S)
Marnoo Primary School,Primary,Newall Street,3387,03 5359 2313,Northern Grampians (S)
Beechworth Primary School,Primary,17 Junction Road,3747,03 5728 1066,Indigo (S)
Ardmona Primary School,Primary,580 Turnbull Road,3629,03 5829 0273,Greater Shepparton (C)
Kilmore Primary School,Primary,35 Lancefield Road,3764,03 5782 1268,Mitchell (S)
Macarthur Primary School,Primary,23 Russell Street,3286,03 5576 1245,Moyne (S)
Barwon Heads Primary School,Primary,Golf Links Road,3227,03 5254 2324,Greater Geelong (C)
Keilor Primary School,Primary,25 Kennedy Street,3036,03 9336 7098,Brimbank (C)
Dunolly Primary School,Primary,8 Elgin Street,3472,03 5468 1111,Central Goldfields (S)
Springhurst Primary School,Primary,121 Anzac Road,3682,03 5726 5291,Wangaratta (RC)
Dixons Creek Primary School,Primary,Melba Highway,3775,03 5965 2282,Yarra Ranges (S)
Trentham District Primary School,Primary,8 Bridge Street,3458,03 5424 1364,Hepburn (S)
Warrenheip Primary School,Primary,93 Warrenheip Road,3352,03 5334 7294,Ballarat (C)
Maiden Gully Primary School,Primary,10 Carolyn Way,3551,03 5449 6429,Greater Bendigo (C)
Rupanyup Primary School,Primary,22 Dyer Street,3388,03 5385 5125,Yarriambiack (S)
Goornong Primary School,Primary,26 Grant Street,3557,03 5432 2236,Greater Bendigo (C)
Oakleigh Primary School,Primary,20 Warrigal Road,3166,03 9568 0558,Monash (C)
Ceres Primary School,Primary,605 Barrabool Road,3221,03 5249 1382,Greater Geelong (C)
Malvern Central School,Primary,Spring Road,3144,03 8823 9500,Stonnington (C)
Daylesford Primary School,Primary,102-128 Vincent Street,3460,03 5348 2480,Hepburn (S)
Mooroopna North Primary School,Primary,835 Ardmona Road,3629,03 5829 0141,Greater Shepparton (C)
Swan Reach Primary School,Primary,21 School Road,3903,03 5156 4287,East Gippsland (S)
Amphitheatre Primary School,Primary,16 School Road,3468,03 5466 2223,Pyrenees (S)
Deans Marsh Primary School,Primary,30 Deans Marsh-Lorne Road,3235,03 5236 3264,Surf Coast (S)
Drysdale Primary School,Primary,52-66 Clifton Springs Rd,3222,03 5251 2272,Greater Geelong (C)
St Arnaud Primary School,Primary,Charlton Road,3478,03 5495 1028,Northern Grampians (S)
Nullawarre and District Primary School,Primary,132 Henry's Sawmill Road,3268,03 5566 5267,Moyne (S)
Macedon Primary School,Primary,67 Smith Street,3440,03 5426 1518,Macedon Ranges (S)
Arthurs Creek Primary School,Primary,900 Arthurs Creek Road,3099,03 9714 8204,Nillumbik (S)
Rye Primary School,Primary,Lyons St,3941,03 5985 2363,Mornington Peninsula (S)
Buxton Primary School,Primary,2208 Maroondah Highway,3711,03 5774 7341,Murrindindi (S)
Moonambel Primary School,Primary,24 Humffray Street,3478,03 5467 2223,Pyrenees (S)
Baringhup Primary School,Primary,Mitchell Street,3463,03 5475 2574,Mount Alexander (S)
Longford Primary School,Primary,6380 South Gippsland Highway,3851,03 5149 7210,Wellington (S)
Harkaway Primary School,Primary,65-67 King Road,3806,03 9707 1475,Casey (C)
Balnarring Primary School,Primary,1 Civic Court,3926,03 5931 4444,Mornington Peninsula (S)
Carraragarmungee Primary School,Primary,1005 Wangaratta-Eldorado Road,3678,03 5725 1531,Wangaratta (RC)
Euroa Primary School,Primary,Clifton Street,3666,03 5795 2212,Strathbogie (S)
Pyramid Hill College,Pri/Sec,101 Kelly Street,3575,03 5455 7377,Loddon (S)
Shepparton East Primary School,Primary,15 School Road,3631,03 5829 2426,Greater Shepparton (C)
Nicholson Primary School,Primary,Princes Highway,3882,03 5156 8220,East Gippsland (S)
Kialla West Primary School,Primary,7370 Goulburn Valley Highway,3631,03 5823 1333,Greater Shepparton (C)
Miners Rest Primary School,Primary,Dundas Street,3352,03 5334 6328,Ballarat (C)
Glenrowan Primary School,Primary,40 Beaconsfield Parade,3675,03 5766 2221,Wangaratta (RC)
Warrnambool Primary School,Primary,Jamieson Street,3280,03 5561 5955,Warrnambool (C)
Devenish Primary School,Primary,76 Main Road,3726,03 5764 4343,Benalla (RC)
Undera Primary School,Primary,45-55 Anderson Street,3629,03 5826 0211,Greater Shepparton (C)
