MEASURE,Measure,REGIONTYPE,Geography Level,ASGS_2016,Region,FREQUENCY,Frequency,TIME,Time,Value,Flag Codes,Flags
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206071140,Carlton North - Princes Hill,A,Annual,2019,2019,9207,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206071141,Collingwood,A,Annual,2019,2019,10984,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206071142,Fitzroy,A,Annual,2019,2019,11903,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206071143,Fitzroy North,A,Annual,2019,2019,13929,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206071144,Richmond (Vic.),A,Annual,2019,2019,35852,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206071145,Yarra - North,A,Annual,2019,2019,10290,,
ERP,Estimated Resident Population,SA4,Statistical Area Level 4,207,Melbourne - Inner East,A,Annual,2019,2019,397108,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,20701,Boroondara,A,Annual,2019,2019,183172,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,207011146,Ashburton (Vic.),A,Annual,2019,2019,8298,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,207011147,Balwyn,A,Annual,2019,2019,17144,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,207011148,Balwyn North,A,Annual,2019,2019,21823,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,207011149,Camberwell,A,Annual,2019,2019,23164,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,207011150,Glen Iris - East,A,Annual,2019,2019,17713,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,207011151,Hawthorn,A,Annual,2019,2019,26161,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,207011152,Hawthorn East,A,Annual,2019,2019,17244,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,207011153,Kew,A,Annual,2019,2019,27190,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,207011154,Kew East,A,Annual,2019,2019,6977,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,207011155,Surrey Hills (West) - Canterbury,A,Annual,2019,2019,17458,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,20702,Manningham - West,A,Annual,2019,2019,100093,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,207021156,Bulleen,A,Annual,2019,2019,11832,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,207021157,Doncaster,A,Annual,2019,2019,24465,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,207021159,Templestowe,A,Annual,2019,2019,17765,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,207021160,Templestowe Lower,A,Annual,2019,2019,14484,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,207021424,Doncaster East (North),A,Annual,2019,2019,15749,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,207021425,Doncaster East (South),A,Annual,2019,2019,15798,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,20703,Whitehorse - West,A,Annual,2019,2019,113843,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,207031161,Blackburn,A,Annual,2019,2019,23394,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,207031162,Blackburn South,A,Annual,2019,2019,11498,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,207031163,Box Hill,A,Annual,2019,2019,23320,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,207031164,Box Hill North,A,Annual,2019,2019,19219,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,207031165,Burwood,A,Annual,2019,2019,14652,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,207031166,Burwood East,A,Annual,2019,2019,11086,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,207031167,Surrey Hills (East) - Mont Albert,A,Annual,2019,2019,10674,,
ERP,Estimated Resident Population,SA4,Statistical Area Level 4,208,Melbourne - Inner South,A,Annual,2019,2019,445903,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,20801,Bayside,A,Annual,2019,2019,106862,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208011168,Beaumaris,A,Annual,2019,2019,14772,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208011169,Brighton (Vic.),A,Annual,2019,2019,25125,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208011170,Brighton East,A,Annual,2019,2019,16955,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208011171,Cheltenham - Highett (West),A,Annual,2019,2019,12353,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208011172,Hampton,A,Annual,2019,2019,19344,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208011173,Sandringham - Black Rock,A,Annual,2019,2019,18313,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,20802,Glen Eira,A,Annual,2019,2019,164929,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208021174,Bentleigh - McKinnon,A,Annual,2019,2019,25048,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208021176,Carnegie,A,Annual,2019,2019,20562,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208021177,Caulfield - North,A,Annual,2019,2019,23523,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208021178,Caulfield - South,A,Annual,2019,2019,18926,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208021179,Elsternwick,A,Annual,2019,2019,12671,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208021180,Hughesdale,A,Annual,2019,2019,8418,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208021181,Murrumbeena,A,Annual,2019,2019,10100,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208021182,Ormond - Glen Huntly,A,Annual,2019,2019,14727,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208021426,Bentleigh East (North),A,Annual,2019,2019,16532,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208021427,Bentleigh East (South),A,Annual,2019,2019,14422,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,20803,Kingston,A,Annual,2019,2019,128401,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208031183,Aspendale Gardens - Waterways,A,Annual,2019,2019,9496,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208031184,Braeside,A,Annual,2019,2019,60,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208031185,Carrum - Patterson Lakes,A,Annual,2019,2019,12660,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208031186,Chelsea - Bonbeach,A,Annual,2019,2019,15600,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208031187,Chelsea Heights,A,Annual,2019,2019,5621,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208031188,Cheltenham - Highett (East),A,Annual,2019,2019,25050,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208031189,Edithvale - Aspendale,A,Annual,2019,2019,14025,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208031190,Mentone,A,Annual,2019,2019,14185,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208031191,Moorabbin - Heatherton,A,Annual,2019,2019,9747,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208031192,Moorabbin Airport,A,Annual,2019,2019,0,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208031193,Mordialloc - Parkdale,A,Annual,2019,2019,21957,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,20804,Stonnington - East,A,Annual,2019,2019,45711,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208041194,Malvern - Glen Iris,A,Annual,2019,2019,21866,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,208041195,Malvern East,A,Annual,2019,2019,23845,,
ERP,Estimated Resident Population,SA4,Statistical Area Level 4,209,Melbourne - North East,A,Annual,2019,2019,556655,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,20901,Banyule,A,Annual,2019,2019,131700,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209011196,Bundoora - East,A,Annual,2019,2019,10553,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209011197,Greensborough,A,Annual,2019,2019,21667,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209011198,Heidelberg - Rosanna,A,Annual,2019,2019,16477,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209011199,Heidelberg West,A,Annual,2019,2019,15764,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209011200,Ivanhoe,A,Annual,2019,2019,12927,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209011201,Ivanhoe East - Eaglemont,A,Annual,2019,2019,8295,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209011202,Montmorency - Briar Hill,A,Annual,2019,2019,17078,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209011203,Viewbank - Yallambie,A,Annual,2019,2019,19242,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209011204,Watsonia,A,Annual,2019,2019,9697,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,20902,Darebin - North,A,Annual,2019,2019,105882,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209021205,Kingsbury,A,Annual,2019,2019,13254,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209021207,Reservoir - East,A,Annual,2019,2019,30027,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209021208,Reservoir - West,A,Annual,2019,2019,26086,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209021428,Preston - East,A,Annual,2019,2019,22907,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209021429,Preston - West,A,Annual,2019,2019,13608,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,20903,Nillumbik - Kinglake,A,Annual,2019,2019,69181,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209031209,Eltham,A,Annual,2019,2019,24282,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209031210,Hurstbridge,A,Annual,2019,2019,3624,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209031211,Kinglake,A,Annual,2019,2019,4156,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209031212,Panton Hill - St Andrews,A,Annual,2019,2019,5490,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209031213,Plenty - Yarrambat,A,Annual,2019,2019,9985,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209031214,Research - North Warrandyte,A,Annual,2019,2019,7055,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209031215,Wattle Glen - Diamond Creek,A,Annual,2019,2019,14589,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,20904,Whittlesea - Wallan,A,Annual,2019,2019,249892,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209041216,Bundoora - North,A,Annual,2019,2019,8610,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209041217,Bundoora - West,A,Annual,2019,2019,6708,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209041219,Lalor,A,Annual,2019,2019,25073,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209041220,Mill Park - North,A,Annual,2019,2019,18708,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209041221,Mill Park - South,A,Annual,2019,2019,12404,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209041223,Thomastown,A,Annual,2019,2019,21603,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209041224,Wallan,A,Annual,2019,2019,19654,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209041225,Whittlesea,A,Annual,2019,2019,8911,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209041430,Doreen,A,Annual,2019,2019,26712,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209041431,Epping - East,A,Annual,2019,2019,14051,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209041432,Epping - South,A,Annual,2019,2019,8767,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209041433,Epping - West,A,Annual,2019,2019,13105,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209041434,Mernda,A,Annual,2019,2019,23359,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209041435,South Morang (North),A,Annual,2019,2019,13438,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209041436,South Morang (South),A,Annual,2019,2019,12716,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,209041437,Wollert,A,Annual,2019,2019,16073,,
ERP,Estimated Resident Population,SA4,Statistical Area Level 4,210,Melbourne - North West,A,Annual,2019,2019,419348,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,21001,Keilor,A,Annual,2019,2019,64567,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210011226,Airport West,A,Annual,2019,2019,8559,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210011227,Essendon Airport,A,Annual,2019,2019,0,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210011228,Keilor,A,Annual,2019,2019,9113,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210011229,Keilor East,A,Annual,2019,2019,28673,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210011230,Niddrie - Essendon West,A,Annual,2019,2019,7748,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210011231,Strathmore,A,Annual,2019,2019,10474,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,21002,Macedon Ranges,A,Annual,2019,2019,32429,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210021232,Gisborne,A,Annual,2019,2019,14211,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210021233,Macedon,A,Annual,2019,2019,3611,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210021234,Riddells Creek,A,Annual,2019,2019,4319,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210021235,Romsey,A,Annual,2019,2019,10288,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,21003,Moreland - North,A,Annual,2019,2019,85383,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210031236,Coburg North,A,Annual,2019,2019,8866,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210031237,Fawkner,A,Annual,2019,2019,15280,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210031239,Pascoe Vale,A,Annual,2019,2019,26957,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210031438,Glenroy,A,Annual,2019,2019,24986,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210031439,Gowanbrae,A,Annual,2019,2019,3129,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210031440,Hadfield,A,Annual,2019,2019,6165,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,21004,Sunbury,A,Annual,2019,2019,44193,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210041240,Sunbury,A,Annual,2019,2019,13558,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210041241,Sunbury - South,A,Annual,2019,2019,30635,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,21005,Tullamarine - Broadmeadows,A,Annual,2019,2019,192776,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210051242,Broadmeadows,A,Annual,2019,2019,14574,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210051243,Campbellfield - Coolaroo,A,Annual,2019,2019,17205,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210051245,Gladstone Park - Westmeadows,A,Annual,2019,2019,18732,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210051246,Greenvale - Bulla,A,Annual,2019,2019,20176,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210051247,Meadow Heights,A,Annual,2019,2019,15770,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210051248,Melbourne Airport,A,Annual,2019,2019,194,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210051249,Roxburgh Park - Somerton,A,Annual,2019,2019,25060,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210051250,Tullamarine,A,Annual,2019,2019,6842,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210051441,Craigieburn - Central,A,Annual,2019,2019,8840,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210051442,Craigieburn - North,A,Annual,2019,2019,13337,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210051443,Craigieburn - South,A,Annual,2019,2019,20617,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210051444,Craigieburn - West,A,Annual,2019,2019,20202,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,210051445,Mickleham - Yuroke,A,Annual,2019,2019,11227,,
ERP,Estimated Resident Population,SA4,Statistical Area Level 4,211,Melbourne - Outer East,A,Annual,2019,2019,534485,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,21101,Knox,A,Annual,2019,2019,164510,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211011251,Bayswater,A,Annual,2019,2019,13071,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211011254,Knoxfield - Scoresby,A,Annual,2019,2019,17194,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211011255,Lysterfield,A,Annual,2019,2019,7023,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211011256,Rowville - Central,A,Annual,2019,2019,15920,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211011257,Rowville - North,A,Annual,2019,2019,8372,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211011258,Rowville - South,A,Annual,2019,2019,10966,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211011259,Wantirna,A,Annual,2019,2019,14643,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211011260,Wantirna South,A,Annual,2019,2019,18995,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211011446,Boronia,A,Annual,2019,2019,23734,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211011447,Ferntree Gully (North),A,Annual,2019,2019,14642,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211011448,Ferntree Gully (South) - Upper Ferntree Gully,A,Annual,2019,2019,15478,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211011449,The Basin,A,Annual,2019,2019,4472,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,21102,Manningham - East,A,Annual,2019,2019,27552,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211021261,Donvale - Park Orchards,A,Annual,2019,2019,16895,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211021262,Warrandyte - Wonga Park,A,Annual,2019,2019,10657,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,21103,Maroondah,A,Annual,2019,2019,118204,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211031263,Bayswater North,A,Annual,2019,2019,12517,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211031265,Croydon Hills - Warranwood,A,Annual,2019,2019,18847,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211031266,Ringwood,A,Annual,2019,2019,18861,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211031267,Ringwood East,A,Annual,2019,2019,21744,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211031268,Ringwood North,A,Annual,2019,2019,10076,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211031450,Croydon - East,A,Annual,2019,2019,16543,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211031451,Croydon - West,A,Annual,2019,2019,14666,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211031452,Croydon South,A,Annual,2019,2019,4950,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,21104,Whitehorse - East,A,Annual,2019,2019,65626,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211041269,Forest Hill,A,Annual,2019,2019,11476,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211041270,Mitcham (Vic.),A,Annual,2019,2019,17527,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211041271,Nunawading,A,Annual,2019,2019,12925,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211041272,Vermont,A,Annual,2019,2019,11310,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211041273,Vermont South,A,Annual,2019,2019,12388,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,21105,Yarra Ranges,A,Annual,2019,2019,158593,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211051274,Belgrave - Selby,A,Annual,2019,2019,10414,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211051275,Chirnside Park,A,Annual,2019,2019,11383,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211051276,Healesville - Yarra Glen,A,Annual,2019,2019,14638,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211051277,Kilsyth,A,Annual,2019,2019,9833,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211051278,Lilydale - Coldstream,A,Annual,2019,2019,19860,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211051279,Monbulk - Silvan,A,Annual,2019,2019,5849,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211051280,Montrose,A,Annual,2019,2019,7138,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211051281,Mooroolbark,A,Annual,2019,2019,24057,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211051282,Mount Dandenong - Olinda,A,Annual,2019,2019,10197,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211051283,Mount Evelyn,A,Annual,2019,2019,10298,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211051284,Upwey - Tecoma,A,Annual,2019,2019,10023,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211051285,Wandin - Seville,A,Annual,2019,2019,8067,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,211051286,Yarra Valley,A,Annual,2019,2019,16836,,
ERP,Estimated Resident Population,SA4,Statistical Area Level 4,212,Melbourne - South East,A,Annual,2019,2019,866324,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,21201,Cardinia,A,Annual,2019,2019,112441,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,212011287,Beaconsfield - Officer,A,Annual,2019,2019,19859,,
